id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
684613,great sunny room with wifi,3488091,Jorge,Eixample,la Nova Esquerra de l'Eixample,41.38138063871022,2.149057556358793,Private room,24,3,56,2018-09-25,0.79,1,81
686830,Sweet apartm. close the beach,942210,Pia,Sant Martí,el Poblenou,41.399411577038386,2.2059987152810954,Entire home/apt,120,3,32,2018-09-17,0.44,4,355
688229,Like at home but without mum!,3513529,Sergio,Sants-Montjuïc,el Poble Sec,41.37221129281829,2.1588799944777213,Private room,40,2,63,2018-10-06,1.08,1,81
688295,Nice and calm room,3109259,Milian,Nou Barris,el Turó de la Peira,41.433200384096224,2.1723062608165904,Private room,39,1,11,2018-09-08,0.77,1,0
688527,Special apartment with terrace,3515147,Jaume,Sant Martí,Provençals del Poblenou,41.41124797173283,2.2017339783039587,Entire home/apt,65,2,134,2018-10-04,3.17,1,303
688703,"""EL MOLINO"" Paral.lel -near ramblas",3516334,J. R,Sants-Montjuïc,el Poble Sec,41.37352532613244,2.1683969008752406,Entire home/apt,115,4,85,2018-07-24,1.26,3,18
688946,Nice Renovated Apartment - El Clot,2907783,Camille,Sant Martí,el Clot,41.41011606774155,2.1929355928226393,Entire home/apt,90,3,83,2018-09-30,1.13,1,333
691152,Apartamento Sagrada Familia BC HUTB-002061,3533078,Carlos Y Raquel,Eixample,la Sagrada Família,41.406800151849836,2.1734130233486626,Entire home/apt,135,2,23,2018-10-08,0.79,2,222
692480,Loft in the mountain of Barcelona,3541131,Antonio,Horta-Guinardó,Sant Genís dels Agudells,41.425801462557466,2.1336118223714786,Entire home/apt,50,2,86,2018-10-05,1.22,5,200
694516,Room in a house with terrace and garden,3019128,Roser,Horta-Guinardó,la Font d'en Fargues,41.42635313785517,2.1687576441654555,Private room,24,2,30,2018-08-29,0.41,1,97
697056,"Amazing Flat with Terrace in Eixample, Barcelona",3570209,Albert,Eixample,la Nova Esquerra de l'Eixample,41.381290354819136,2.1481443524042816,Private room,35,1,6,2018-06-12,0.14,1,282
698593,Cosy and modern apartment in Gracia,3454952,Eduard,Gràcia,la Vila de Gràcia,41.40201401864087,2.1565998373556083,Entire home/apt,105,3,194,2018-10-06,2.74,3,139
699302,"Agradable, tranquily  and friendly",3196093,Cirleia,Eixample,la Nova Esquerra de l'Eixample,41.37833817576574,2.150163662100339,Private room,25,3,11,2017-09-16,0.22,1,359
